net,length_um
_175_,4
_316_,4
net193,4
net333,4
net359,4
net367,4
net371,4
net564,4
net751,4
net855,4
net857,4
net896,4
net955,4
net965,4
net1133,4
net1075,4
net1095,4
net1181,4
net1188,4
net1027,3.98
net377,3.88
net787,3.88
net828,3.88
net1109,3.88
net1007,3.78
net1380,3.76
_095_,3.68
_173_,3.68
net426,3.68
net677,3.68
net862,3.68
net1044,3.68
net1155,3.68
net657,3.66
net1395,3.66
net1429,3.66
net539,3.64
net554,3.64
_296_,3.56
net172,3.56
_067_,3.54
_100_,3.54
_219_,3.54
_230_,3.54
_280_,3.54
net97,3.54
net167,3.54
net434,3.54
net568,3.54
net649,3.54
net665,3.54
net748,3.54
net760,3.54
net1018,3.54
net1019,3.54
net1021,3.54
net1040,3.54
net1099,3.54
net1119,3.54
net1100,3.54
net1126,3.54
net1200,3.54
net1234,3.54
net1422,3.54
net474,3.505
net411,3.42
net744,3.345
net337,3.3
net1358,3.3
_116_,3.22
net323,3.22
net327,3.22
net344,3.22
net374,3.22
net384,3.22
net408,3.22
net422,3.22
net623,3.22
net656,3.22
net705,3.22
net772,3.22
net779,3.22
net782,3.22
net784,3.22
net834,3.22
net1038,3.22
net1047,3.22
net1069,3.22
net1097,3.22
net1137,3.22
net1144,3.22
net1164,3.22
net1042,3.22
net1065,3.22
net1084,3.22
net1086,3.22
net1101,3.22
net1174,3.22
net1176,3.22
net1182,3.22
net1218,3.22
net1224,3.22
net1230,3.22
net1233,3.22
net1237,3.22
net1304,3.22
net1305,3.22
net1343,3.22
net1345,3.22
net1346,3.22
net1386,3.22
net1387,3.22
_112_,3.18
net548,3.18
net572,3.18
net596,3.18
_086_,3.1
net876,3.1
_006_,3.08
_032_,3.08
_065_,3.08
_071_,3.08
_098_,3.08
_115_,3.08
_136_,3.08
net124,3.08
net340,3.08
net368,3.08
net388,3.08
net455,3.08
net547,3.08
net573,3.08
net597,3.08
net603,3.08
net651,3.08
net720,3.08
net879,3.08
net1001,3.08
net1104,3.08
net1171,3.08
net1193,3.08
net1308,3.08
net1312,3.08
net1364,3.08
net1402,3.08
net1406,3.08
net1407,3.08
_299_,2.96
net348,2.96
net356,2.96
net386,2.96
net428,2.96
net561,2.96
net1225,2.96
net1238,2.96
net510,2.955
net1096,2.84
net486,2.835
net352,2.76
net413,2.76
net673,2.76
net847,2.76
net980,2.76
net1029,2.76
net342,2.74
net533,2.72
net542,2.72
net545,2.72
net551,2.72
net563,2.72
net575,2.72
net581,2.72
net584,2.72
net605,2.72
net608,2.72
net611,2.72
net614,2.72
net1362,2.72
net1385,2.64
_128_,2.62
_133_,2.62
_144_,2.62
net171,2.62
net321,2.62
net330,2.62
net369,2.62
net379,2.62
net382,2.62
net407,2.62
net418,2.62
net453,2.62
net556,2.62
net583,2.62
net586,2.62
net591,2.62
net621,2.62
net624,2.62
net627,2.62
net630,2.62
net639,2.62
net686,2.62
net726,2.62
net959,2.62
net983,2.62
net989,2.62
net995,2.62
net1015,2.62
net1046,2.62
net1058,2.62
net1077,2.62
net1191,2.62
net1210,2.62
net1241,2.62
net1248,2.62
net1259,2.62
net1302,2.62
net1306,2.62
net1310,2.62
net738,2.595
_203_,2.59
net120,2.5
net123,2.5
net125,2.5
net376,2.5
net555,2.5
net675,2.5
net880,2.5
net940,2.5
net1186,2.5
net1313,2.5
net518,2.495
net928,2.39
net484,2.375
net516,2.375
net468,2.325
net502,2.325
_037_,2.3
_064_,2.3
_092_,2.3
_281_,2.3
net412,2.3
net1252,2.3
net736,2.18
_070_,2.16
_074_,2.16
_075_,2.16
_259_,2.16
_312_,2.16
net99,2.16
net119,2.16
net322,2.16
net339,2.16
net383,2.16
net420,2.16
net439,2.16
net458,2.16
net534,2.16
net541,2.16
net552,2.16
net613,2.16
net642,2.16
net664,2.16
net680,2.16
net683,2.16
net699,2.16
net783,2.16
net788,2.16
net825,2.16
net870,2.16
net925,2.16
net1012,2.16
net1022,2.16
net1078,2.16
net1111,2.16
net1118,2.16
net1201,2.16
net1217,2.16
net1221,2.16
net1274,2.16
net1303,2.16
net1307,2.16
net1375,2.16
net524,2.125
net514,2.08
_103_,2.04
_266_,2.04
net107,2.04
net114,2.04
net128,2.04
net132,2.04
net249,2.04
net620,2.04
net636,2.04
net652,2.04
net714,2.04
net860,2.04
net917,2.04
net921,2.04
net926,2.04
net932,2.04
net951,2.04
net967,2.04
net1079,2.04
net1105,2.04
net424,1.94
net490,1.865
net500,1.865
net504,1.865
net522,1.865
_178_,1.84
_278_,1.84
net361,1.84
net444,1.84
net445,1.84
net697,1.84
net898,1.84
net1030,1.84
net1112,1.84
net1035,1.84
net1053,1.84
net1207,1.84
net1223,1.84
net1371,1.84
net480,1.74
_052_,1.7
_062_,1.7
_066_,1.7
_080_,1.7
_085_,1.7
_125_,1.7
_126_,1.7
_131_,1.7
_151_,1.7
_169_,1.7
_232_,1.7
_257_,1.7
_302_,1.7
net105,1.7
net126,1.7
net130,1.7
net192,1.7
net312,1.7
net326,1.7
net329,1.7
net364,1.7
net366,1.7
net392,1.7
net393,1.7
net546,1.7
net553,1.7
net559,1.7
net565,1.7
net577,1.7
net589,1.7
net592,1.7
net598,1.7
net607,1.7
net610,1.7
net713,1.7
net793,1.7
net850,1.7
net874,1.7
net910,1.7
net948,1.7
net998,1.7
net1056,1.7
net1115,1.7
net1121,1.7
net1138,1.7
net1156,1.7
net1158,1.7
net1160,1.7
